자전거번호,등록일시,고장구분
SPB-02156,2018-01-01,타이어 
SPB-04462,2018-01-01,기타 
SPB-10032,2018-01-01,타이어 
SPB-09518,2018-01-02,타이어 
SPB-12349,2018-01-02,기타 
SPB-05064,2018-01-02,기타 
SPB-10244,2018-01-02,기타 
SPB-13119,2018-01-02,단말기
SPB-11110,2018-01-02,기타 
SPB-09606,2018-01-02,타이어 
SPB-07778,2018-01-02,기타 
SPB-05679,2018-01-02,단말기
SPB-02746,2018-01-02,안장
SPB-02746,2018-01-02,기타 
SPB-12187,2018-01-02,안장
SPB-12187,2018-01-02,기타 
SPB-04272,2018-01-03,체인
SPB-03832,2018-01-03,기타 
SPB-00187,2018-01-03,타이어 
SPB-08456,2018-01-03,기타 
SPB-06055,2018-01-03,안장
SPB-12586,2018-01-03,체인
SPB-11662,2018-01-03,기타 
SPB-05254,2018-01-03,기타 
SPB-00415,2018-01-03,페달
SPB-05411,2018-01-03,안장
SPB-05411,2018-01-03,기타 
SPB-09724,2018-01-03,타이어 
SPB-13672,2018-01-04,단말기
SPB-04287,2018-01-04,페달
SPB-00988,2018-01-04,체인
SPB-06557,2018-01-04,기타 
SPB-01782,2018-01-04,기타 
SPB-07615,2018-01-04,안장
SPB-03140,2018-01-04,기타 
SPB-09109,2018-01-04,단말기
SPB-09109,2018-01-04,기타 
SPB-00264,2018-01-04,체인
SPB-08715,2018-01-04,기타 
SPB-01938,2018-01-04,기타 
SPB-13284,2018-01-04,기타 
SPB-00361,2018-01-04,체인
SPB-00361,2018-01-04,기타 
SPB-12021,2018-01-05,단말기
SPB-06616,2018-01-05,기타 
SPB-06411,2018-01-05,안장
SPB-11246,2018-01-05,체인
SPB-06150,2018-01-05,체인
SPB-05152,2018-01-05,타이어 
SPB-05152,2018-01-05,기타 
SPB-06261,2018-01-05,기타 
SPB-09595,2018-01-05,기타 
SPB-02856,2018-01-05,체인
SPB-11144,2018-01-06,안장
SPB-09377,2018-01-06,단말기
SPB-00068,2018-01-06,체인
SPB-07547,2018-01-06,기타 
