기간,분류,매우 불만족,약간 불만족,보통,약간 만족,매우 만족,10점 평균
2018,평균,1.3,10.7,32.7,45.1,10.2,6.3
2018,지역_도심권,1.9,7.1,44.6,29.7,16.8,6.31
2018,지역_동북권,2,15.4,32.3,41.7,8.6,5.99
2018,지역_서북권,2.2,11,28.8,46.7,11.3,6.35
2018,지역_서남권,0.9,7.7,31.9,49,10.4,6.51
2018,지역_동남권,0.3,9.6,34.7,45.3,10.1,6.39
2018,종로구,3.4,13,46.8,25.8,10.9,5.69
2018,중구,3.2,0,58.1,31.2,7.5,5.99
2018,용산구,0.1,5.8,36.5,32,25.5,6.93
2018,성동구,0.9,9.8,29,53.6,6.7,6.39
2018,광진구,0.2,7.1,36.6,52.5,3.5,6.3
2018,동대문구,2.8,16.7,33.5,40.3,6.7,5.79
2018,중랑구,2.4,12.5,44.7,33.4,6.9,5.75
2018,성북구,0.3,22.8,22.1,47.8,7.1,5.97
2018,강북구,5.6,22.7,33.2,29.4,9.1,5.34
2018,도봉구,1.5,13.9,36.8,38.2,9.5,6.01
2018,노원구,3.8,18.6,26.5,33.5,17.6,6.06
2018,은평구,0.5,10.9,21,60.3,7.4,6.58
2018,서대문구,6.3,7.5,36.9,42.1,7.2,5.91
2018,마포구,1,13.6,30.8,36.7,17.9,6.42
2018,양천구,0,0.2,36.6,58.6,4.5,6.69
2018,강서구,2,11.9,40.1,32.1,13.9,6.1
2018,구로구,0.6,14,33,42.2,10.3,6.19
2018,금천구,0.5,12.2,28.3,46.1,13,6.47
2018,영등포구,0.8,3.3,29.5,56.2,10.1,6.79
2018,동작구,2.6,28.5,20.5,35.7,12.9,5.7
2018,관악구,1.1,8.5,27.2,47.9,15.3,6.69
2018,서초구,0.5,5.7,34.7,52.9,6.2,6.46
2018,강남구,0,8.4,36.5,46.5,8.5,6.38
2018,송파구,0,10.8,33,44.8,11.4,6.42
2018,강동구,1.3,13.4,39.6,31.3,14.4,6.1
