대여일자,대여건수,성별,연령대코드,신규가입자수
2018-01-01,,F,~~19,7
2018-01-01,,M,~~19,9
2018-01-01,,F,20~29,58
2018-01-01,,M,20~29,81
2018-01-01,,F,30~39,32
2018-01-01,,M,30~39,46
2018-01-01,,F,40~49,19
2018-01-01,,M,40~49,26
2018-01-01,,F,50~59,9
2018-01-01,,M,50~59,8
2018-01-01,,F,60~69,3
2018-01-01,,M,60~69,4
2018-01-01,4950,,,
2018-01-02,,F,~~19,6
2018-01-02,,M,~~19,6
2018-01-02,,F,20~29,39
2018-01-02,,M,20~29,74
2018-01-02,,F,30~39,15
2018-01-02,,M,30~39,37
2018-01-02,,F,40~49,12
2018-01-02,,M,40~49,32
2018-01-02,,F,50~59,6
2018-01-02,,M,50~59,13
2018-01-02,,M,60~69,5
2018-01-02,,F,70~~,1
2018-01-02,7136,,,
2018-01-03,,F,~~19,2
2018-01-03,,M,~~19,3
2018-01-03,,F,20~29,34
2018-01-03,,M,20~29,35
2018-01-03,,F,30~39,20
2018-01-03,,M,30~39,24
2018-01-03,,F,40~49,17
2018-01-03,,M,40~49,40
2018-01-03,,F,50~59,8
2018-01-03,,M,50~59,18
2018-01-03,,M,60~69,3
2018-01-03,,M,70~~,1
2018-01-03,7156,,,
2018-01-04,,F,~~19,3
2018-01-04,,M,~~19,5
2018-01-04,,F,20~29,32
2018-01-04,,M,20~29,41
2018-01-04,,F,30~39,14
2018-01-04,,M,30~39,19
2018-01-04,,F,40~49,5
2018-01-04,,M,40~49,28
2018-01-04,,F,50~59,5
2018-01-04,,M,50~59,12
2018-01-04,,F,60~69,1
2018-01-04,,M,60~69,4
2018-01-04,7102,,,
2018-01-05,,F,~~19,11
2018-01-05,,M,~~19,3
2018-01-05,,F,20~29,35
2018-01-05,,M,20~29,43
2018-01-05,,F,30~39,23
2018-01-05,,M,30~39,22
2018-01-05,,F,40~49,12
2018-01-05,,M,40~49,16
2018-01-05,,F,50~59,3
2018-01-05,,M,50~59,8
2018-01-05,,F,60~69,1
2018-01-05,,M,60~69,6
2018-01-05,7705,,,
2018-01-06,,F,~~19,5
2018-01-06,,M,~~19,7
2018-01-06,,F,20~29,34
2018-01-06,,M,20~29,43
2018-01-06,,F,30~39,22
2018-01-06,,M,30~39,36
2018-01-06,,F,40~49,9
2018-01-06,,M,40~49,15
2018-01-06,,F,50~59,3
2018-01-06,,M,50~59,9
2018-01-06,,F,60~69,2
2018-01-06,,M,60~69,5
2018-01-06,,F,70~~,1
2018-01-06,,M,70~~,1
2018-01-06,5681,,,
2018-01-07,,F,~~19,4
2018-01-07,,M,~~19,6
2018-01-07,,F,20~29,72
2018-01-07,,M,20~29,69
2018-01-07,,F,30~39,16
2018-01-07,,M,30~39,33
2018-01-07,,F,40~49,11
2018-01-07,,M,40~49,16
2018-01-07,,F,50~59,6
2018-01-07,,M,50~59,14
2018-01-07,,F,60~69,1
2018-01-07,,M,60~69,3
2018-01-07,,F,70~~,1
2018-01-07,,M,70~~,1
2018-01-07,5220,,,
2018-01-08,,F,~~19,3
2018-01-08,,M,~~19,6
2018-01-08,,F,20~29,32
2018-01-08,,M,20~29,41
2018-01-08,,F,30~39,21
2018-01-08,,M,30~39,32
2018-01-08,,F,40~49,10
2018-01-08,,M,40~49,21
2018-01-08,,F,50~59,2
2018-01-08,,M,50~59,10
2018-01-08,,F,60~69,1
2018-01-08,,M,60~69,5
2018-01-08,,F,70~~,2
2018-01-08,6309,,,
2018-01-09,,F,~~19,3
2018-01-09,,M,~~19,6
2018-01-09,,F,20~29,35
2018-01-09,,M,20~29,40
2018-01-09,,F,30~39,14
2018-01-09,,M,30~39,13
2018-01-09,,F,40~49,3
2018-01-09,,M,40~49,15
2018-01-09,,F,50~59,6
2018-01-09,,M,50~59,10
2018-01-09,,M,60~69,2
2018-01-09,5988,,,
2018-01-10,,M,~~19,3
2018-01-10,,F,20~29,24
2018-01-10,,M,20~29,21
2018-01-10,,F,30~39,3
2018-01-10,,M,30~39,16
2018-01-10,,F,40~49,5
2018-01-10,,M,40~49,14
2018-01-10,,F,50~59,2
2018-01-10,,M,50~59,3
2018-01-10,,M,60~69,1
2018-01-10,,M,70~~,1
2018-01-10,4476,,,
2018-01-11,,F,~~19,1
2018-01-11,,F,20~29,13
2018-01-11,,M,20~29,28
2018-01-11,,F,30~39,6
2018-01-11,,M,30~39,8
2018-01-11,,F,40~49,2
2018-01-11,,M,40~49,9
2018-01-11,,F,50~59,1
2018-01-11,,M,50~59,4
2018-01-11,,F,60~69,1
2018-01-11,,M,60~69,1
2018-01-11,,M,70~~,2
2018-01-11,4337,,,
2018-01-12,,F,20~29,14
2018-01-12,,M,20~29,20
2018-01-12,,F,30~39,3
2018-01-12,,M,30~39,10
2018-01-12,,F,40~49,3
2018-01-12,,M,40~49,17
2018-01-12,,F,50~59,2
2018-01-12,,M,50~59,6
2018-01-12,,F,60~69,1
2018-01-12,,M,60~69,3
2018-01-12,4401,,,
2018-01-13,,F,~~19,2
2018-01-13,,M,~~19,6
2018-01-13,,F,20~29,20
2018-01-13,,M,20~29,18
2018-01-13,,F,30~39,7
2018-01-13,,M,30~39,16
2018-01-13,,F,40~49,4
2018-01-13,,M,40~49,7
2018-01-13,,F,50~59,5
2018-01-13,,M,50~59,2
2018-01-13,,M,60~69,2
2018-01-13,3756,,,
2018-01-14,,F,~~19,6
